regime,n_days,series,ann_return,ann_mean_arith,ann_vol,sharpe_or_ir,max_drawdown_masked,hit_rate,frac_invested,hit_rate_invested,ann_return_invested,ann_mean_arith_invested,ann_vol_invested,sharpe_invested,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,beta,alpha_ann,corr_with_benchmark,ann_return_gross,ann_return_cost
BEAR,2220,active,-0.1386167657607148,-0.07056790564556663,0.3972860848515488,-0.3489091892370476,-0.8384721047724021,0.4882882882882883,0.0,,,,,,,,,,,,,,
BEAR,2220,benchmark_bh,-0.16487161170871933,-0.14329583840595983,0.27074834167672446,-0.6089478173261621,-0.8585801913140454,0.4873873873873874,0.0,,,,,,,,,,1.0,0.0,1.0,,
BEAR,2220,strategy_net,-0.21653359969133956,-0.21386374405152644,0.24499092374685347,-0.8838433537851444,-0.8964605899098905,0.11711711711711711,0.0,,,,,,,,,,-0.1671859228734273,-0.23782079103934836,-0.18476321766289347,-0.1464412004929827,-0.08135774645164184
BULL,3046,active,-0.3433853217779961,-0.3907308210352996,0.24255348384553055,-1.4157097079532364,-0.9946237026625817,0.4684832567301379,0.0,,,,,,,,,,,,,,
BULL,3046,benchmark_bh,0.2503756055525834,0.24267516043892914,0.19575401514644902,1.2790317754926788,-0.18250030616847313,0.5219960604070912,0.0,,,,,,,,,,1.0,0.0,1.0,,
BULL,3046,strategy_net,-0.14749502506392842,-0.14805566059637046,0.15138765036906338,-0.9742870353318435,-0.868989400182676,0.09520682862770848,0.0,,,,,,,,,,0.031389425282888996,-0.15567309441298133,0.040588555389328235,-0.0862760991559045,-0.06660391534707477
NORMAL,1217,active,0.07669338155884486,0.1385401170830951,0.3600328067901992,0.21301775869424075,-0.43912491865333314,0.4967105263157895,0.0,,,,,,,,,,,,,,
NORMAL,1217,benchmark_bh,-0.12745184804400578,-0.10251346306000668,0.2596331868720622,-0.4908919756348768,-0.6944940001165036,0.48397699260476584,0.0,,,,,,,,,,1.0,0.0,1.0,,
NORMAL,1217,strategy_net,0.014567308622301045,0.035942350188335165,0.20743386806672706,0.07022627865964035,-0.2742298238575336,0.11595394736842106,0.0,,,,,,,,,,-0.14177779849902702,0.021396264667079737,-0.1775281216086658,0.09179592892088784,-0.07015272466247746
