regime,n_days,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,frac_invested,alpha_ann__benchmark_bh,alpha_ann__strategy_net,ann_mean_arith__active,ann_mean_arith__benchmark_bh,ann_mean_arith__strategy_net,ann_mean_arith_invested__active,ann_mean_arith_invested__benchmark_bh,ann_mean_arith_invested__strategy_net,ann_return__active,ann_return__benchmark_bh,ann_return__strategy_net,ann_return_cost__strategy_net,ann_return_gross__strategy_net,ann_return_invested__active,ann_return_invested__benchmark_bh,ann_return_invested__strategy_net,ann_vol__active,ann_vol__benchmark_bh,ann_vol__strategy_net,ann_vol_invested__active,ann_vol_invested__benchmark_bh,ann_vol_invested__strategy_net,beta__benchmark_bh,beta__strategy_net,corr_with_benchmark__benchmark_bh,corr_with_benchmark__strategy_net,hit_rate__active,hit_rate__benchmark_bh,hit_rate__strategy_net,hit_rate_invested__active,hit_rate_invested__benchmark_bh,hit_rate_invested__strategy_net,max_drawdown_masked__active,max_drawdown_masked__benchmark_bh,max_drawdown_masked__strategy_net,sharpe_invested__active,sharpe_invested__benchmark_bh,sharpe_invested__strategy_net,sharpe_or_ir__active,sharpe_or_ir__benchmark_bh,sharpe_or_ir__strategy_net
BEAR,2220,0.422972972972973,0.33993859493859496,1.0756756756756756,0.0,0.42252252252252254,0.0,-0.11673912383683087,-0.046760267600356495,-0.14329583840595983,-0.19005610600631634,-0.3032233502266189,-0.10817169810389528,-0.41139504833051405,-0.08403892624146858,-0.16487161170871933,-0.2073870016593663,-0.08214161904871553,-0.13673657476118994,-0.3002364727335325,-0.14091656853868695,-0.4004887407618666,0.2858109203394195,0.27074834167672446,0.288782858917967,0.3264601591744992,0.2940816082500787,0.44385198793089264,1.0,0.51164767229162,1.0,0.4796952260766387,0.4990990990990991,0.4873873873873874,0.2063063063063063,0.4541577825159915,0.5181236673773987,0.488272921108742,-0.6273348410349906,-0.8585801913140454,-0.8822497459021689,-0.919672628637819,-0.4791750472843425,-0.902302460396375,-0.2940367923719176,-0.6089478173261621,-0.7181416599185259
BULL,3072,0.2734375,0.22574637276785717,0.4270833333333333,0.0,0.2734375,0.0,0.016654443419753598,-0.17202283610355784,0.2496940779705131,0.07767124186695527,0.05661042614230519,0.28384440125684557,0.3404548273991508,-0.18181281075158107,0.2592552744696841,0.06063882340464222,-0.05533004551988108,0.12233257208153425,0.0015717911135877394,0.3014088373264747,0.31223173592600095,0.23842813032598803,0.1954272485775735,0.1931883542618371,0.33048193661527586,0.20145945939326798,0.36886600349501103,1.0,0.24436622183088894,1.0,0.24719822558756346,0.4794921875,0.5237630208333334,0.14290364583333334,0.4880952380952381,0.5321428571428571,0.5226190476190476,-0.9211927355210483,-0.18250030616847313,-0.4144801256698927,0.004756057561528725,1.496126507210049,0.8464638458616421,-0.7625476511643138,1.3266076064452932,0.31388446594692565
NORMAL,1217,0.36729663105998356,0.30772209165799963,0.9227608874281019,0.0,0.36811832374691866,0.0,-0.18754251407463246,-0.13004454896754045,-0.10251346306000668,-0.23255801202754717,-0.15368631810008723,-0.43137417439438797,-0.5850604924944752,-0.15449715994074376,-0.12745184804400578,-0.23425082546108222,-0.074654602756547,-0.1725710200375672,-0.18309816368185616,-0.3743269268406352,-0.4925359546672321,0.2731685741122464,0.2596331868720622,0.257707238894672,0.30808342561764807,0.2715358634174465,0.42378079417583986,1.0,0.4391179129961174,1.0,0.4423996145889712,0.5168447000821693,0.48397699260476584,0.17666392769104355,0.5267857142857143,0.4799107142857143,0.4799107142857143,-0.5820131357813549,-0.6944940001165036,-0.7439882837130456,-0.5943135802089305,-1.378554280563531,-1.1622422758093742,-0.5655744275959799,-0.4908919756348768,-0.908980385905354
