regime,n_days,series,ann_return,ann_mean_arith,ann_vol,sharpe_or_ir,max_drawdown_masked,hit_rate,frac_invested,hit_rate_invested,ann_return_invested,ann_mean_arith_invested,ann_vol_invested,sharpe_invested,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,beta,alpha_ann,corr_with_benchmark,ann_return_gross,ann_return_cost
BEAR,2220,active,-0.08403892624146858,-0.046760267600356495,0.2858109203394195,-0.2940367923719176,-0.6273348410349906,0.4990990990990991,0.42252252252252254,0.4541577825159915,-0.3002364727335325,-0.3032233502266189,0.3264601591744992,-0.919672628637819,0.422972972972973,0.33993859493859496,1.0756756756756756,0.0,,,,,
BEAR,2220,benchmark_bh,-0.16487161170871933,-0.14329583840595983,0.27074834167672446,-0.6089478173261621,-0.8585801913140454,0.4873873873873874,0.42252252252252254,0.5181236673773987,-0.14091656853868695,-0.10817169810389528,0.2940816082500787,-0.4791750472843425,0.422972972972973,0.33993859493859496,1.0756756756756756,0.0,1.0,0.0,1.0,,
BEAR,2220,strategy_net,-0.2073870016593663,-0.19005610600631634,0.288782858917967,-0.7181416599185259,-0.8822497459021689,0.2063063063063063,0.42252252252252254,0.488272921108742,-0.4004887407618666,-0.41139504833051405,0.44385198793089264,-0.902302460396375,0.422972972972973,0.33993859493859496,1.0756756756756756,0.0,0.51164767229162,-0.11673912383683087,0.4796952260766387,-0.13673657476118994,-0.08214161904871553
BULL,3072,active,-0.18181281075158107,-0.17202283610355784,0.23842813032598803,-0.7625476511643138,-0.9211927355210483,0.4794921875,0.2734375,0.4880952380952381,0.0015717911135877394,0.05661042614230519,0.33048193661527586,0.004756057561528725,0.2734375,0.22574637276785717,0.4270833333333333,0.0,,,,,
BULL,3072,benchmark_bh,0.2592552744696841,0.2496940779705131,0.1954272485775735,1.3266076064452932,-0.18250030616847313,0.5237630208333334,0.2734375,0.5321428571428571,0.3014088373264747,0.28384440125684557,0.20145945939326798,1.496126507210049,0.2734375,0.22574637276785717,0.4270833333333333,0.0,1.0,0.0,1.0,,
BULL,3072,strategy_net,0.06063882340464222,0.07767124186695527,0.1931883542618371,0.31388446594692565,-0.4144801256698927,0.14290364583333334,0.2734375,0.5226190476190476,0.31223173592600095,0.3404548273991508,0.36886600349501103,0.8464638458616421,0.2734375,0.22574637276785717,0.4270833333333333,0.0,0.24436622183088894,0.016654443419753598,0.24719822558756346,0.12233257208153425,-0.05533004551988108
NORMAL,1217,active,-0.15449715994074376,-0.13004454896754045,0.2731685741122464,-0.5655744275959799,-0.5820131357813549,0.5168447000821693,0.36811832374691866,0.5267857142857143,-0.18309816368185616,-0.15368631810008723,0.30808342561764807,-0.5943135802089305,0.36729663105998356,0.30772209165799963,0.9227608874281019,0.0,,,,,
NORMAL,1217,benchmark_bh,-0.12745184804400578,-0.10251346306000668,0.2596331868720622,-0.4908919756348768,-0.6944940001165036,0.48397699260476584,0.36811832374691866,0.4799107142857143,-0.3743269268406352,-0.43137417439438797,0.2715358634174465,-1.378554280563531,0.36729663105998356,0.30772209165799963,0.9227608874281019,0.0,1.0,0.0,1.0,,
NORMAL,1217,strategy_net,-0.23425082546108222,-0.23255801202754717,0.257707238894672,-0.908980385905354,-0.7439882837130456,0.17666392769104355,0.36811832374691866,0.4799107142857143,-0.4925359546672321,-0.5850604924944752,0.42378079417583986,-1.1622422758093742,0.36729663105998356,0.30772209165799963,0.9227608874281019,0.0,0.4391179129961174,-0.18754251407463246,0.4423996145889712,-0.1725710200375672,-0.074654602756547
