regime,n_days,series,ann_return,ann_mean_arith,ann_vol,sharpe_or_ir,max_drawdown_masked,hit_rate,frac_invested,hit_rate_invested,ann_return_invested,ann_mean_arith_invested,ann_vol_invested,sharpe_invested,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,beta,alpha_ann,corr_with_benchmark,ann_return_gross,ann_return_cost
BEAR,2220,active,-0.13204610115630677,-0.04841426614976433,0.4271490104452672,-0.3091335761697299,-0.888580981955106,0.5036036036036036,0.3554054054054054,0.49936628643852976,-0.42779360257434185,-0.3724505960290534,0.5995024507395128,-0.7135810738498892,0.3554054054054054,0.4137544037544038,0.0,0.6405405405405405,,,,,
BEAR,2220,benchmark_bh,-0.16487161170871933,-0.14329583840595983,0.27074834167672446,-0.6089478173261621,-0.8585801913140454,0.4873873873873874,0.3554054054054054,0.47782002534854245,-0.10608556329456864,-0.08487821526842135,0.23334513939967252,-0.4546294110410663,0.3554054054054054,0.4137544037544038,0.0,0.6405405405405405,1.0,0.0,1.0,,
BEAR,2220,strategy_net,-0.20832761673499867,-0.19171010455572418,0.2816921113305294,-0.7395578660367703,-0.8961135042438085,0.17072072072072073,0.3554054054054054,0.4803548795944233,-0.43739321125414055,-0.45732881129747477,0.4719806471501601,-0.9267185294463661,0.3554054054054054,0.4137544037544038,0.0,0.6405405405405405,-0.20326924086399364,-0.22083774084747315,-0.19537220839399633,-0.12159489782194521,-0.09906869527325746
BULL,3072,active,-0.4992933108701546,-0.6282100247303808,0.35078718579128776,-1.423351054696808,-0.9998081274246179,0.4641927083333333,0.4772135416666667,0.4686221009549795,-0.6451637033048939,-0.9280662976684142,0.4557818989891242,-1.415509709217936,0.4772135416666667,0.5428527509093916,0.0,0.9563802083333334,,,,,
BULL,3072,benchmark_bh,0.2592552744696841,0.2496940779705131,0.1954272485775735,1.3266076064452932,-0.18250030616847313,0.5237630208333334,0.4772135416666667,0.5163710777626194,0.20536165170060983,0.20261405452631803,0.17771666998996805,1.1555564917584957,0.4772135416666667,0.5428527509093916,0.0,0.9563802083333334,1.0,0.0,1.0,,
BULL,3072,strategy_net,-0.33529112839343933,-0.37851594675986744,0.24014097538995463,-1.3962262285683418,-0.9935327770786181,0.21744791666666666,0.4772135416666667,0.45566166439290584,-0.5452707792579231,-0.7254522431420961,0.3462336952499311,-1.5748634137538686,0.4772135416666667,0.5428527509093916,0.0,0.9563802083333334,-0.3559945513588731,-0.28962621549578715,-0.2897091409231546,-0.23791452113066236,-0.12792465710873813
NORMAL,1217,active,-0.37365968157259255,-0.34537748404899987,0.47847328969892877,-0.7809415689801861,-0.8997668520752972,0.5020542317173378,0.3582580115036976,0.4954128440366973,-0.7587991430768608,-1.1510961148564267,0.7021495087534048,-1.0806803018690874,0.3582580115036976,0.39747036037093564,0.0,0.6918652423993427,,,,,
NORMAL,1217,benchmark_bh,-0.12745184804400578,-0.10251346306000668,0.2596331868720622,-0.4908919756348768,-0.6944940001165036,0.48397699260476584,0.3582580115036976,0.4724770642201835,-0.05487046275522689,-0.03262701044554771,0.2185106195320742,-0.25111119483679234,0.3582580115036976,0.39747036037093564,0.0,0.6918652423993427,1.0,0.0,1.0,,
NORMAL,1217,strategy_net,-0.4066683584494203,-0.44789094710900645,0.36595476019288947,-1.1112530910516678,-0.91961576039865,0.16516023007395234,0.3582580115036976,0.4610091743119266,-0.7510627118701536,-1.1837231253019744,0.6086149013153629,-1.234052452950013,0.3582580115036976,0.39747036037093564,0.0,0.6918652423993427,-0.20475196419669242,-0.4688807800271479,-0.14526496377497994,-0.34424194488130344,-0.09536354771615152
