regime,n_days,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,frac_invested,alpha_ann__benchmark_bh,alpha_ann__strategy_net,ann_mean_arith__active,ann_mean_arith__benchmark_bh,ann_mean_arith__strategy_net,ann_mean_arith_invested__active,ann_mean_arith_invested__benchmark_bh,ann_mean_arith_invested__strategy_net,ann_return__active,ann_return__benchmark_bh,ann_return__strategy_net,ann_return_cost__strategy_net,ann_return_gross__strategy_net,ann_return_invested__active,ann_return_invested__benchmark_bh,ann_return_invested__strategy_net,ann_vol__active,ann_vol__benchmark_bh,ann_vol__strategy_net,ann_vol_invested__active,ann_vol_invested__benchmark_bh,ann_vol_invested__strategy_net,beta__benchmark_bh,beta__strategy_net,corr_with_benchmark__benchmark_bh,corr_with_benchmark__strategy_net,hit_rate__active,hit_rate__benchmark_bh,hit_rate__strategy_net,hit_rate_invested__active,hit_rate_invested__benchmark_bh,hit_rate_invested__strategy_net,max_drawdown_masked__active,max_drawdown_masked__benchmark_bh,max_drawdown_masked__strategy_net,sharpe_invested__active,sharpe_invested__benchmark_bh,sharpe_invested__strategy_net,sharpe_or_ir__active,sharpe_or_ir__benchmark_bh,sharpe_or_ir__strategy_net
BEAR,461,0.40563991323210413,0.447341559380605,0.0,0.7418655097613883,0.40563991323210413,0.0,-0.4230931134735173,-0.262813572399294,-0.14062084687786983,-0.4034344192771638,-0.669416227028735,-0.2429434910823484,-0.9123597181110829,-0.33644418880169624,-0.16976238691325385,-0.39011423600019335,-0.10666492391493632,-0.3176273747845392,-0.6133445833291631,-0.23742350954989955,-0.679148460982327,0.528490386031011,0.29956339909080987,0.4055529272568141,0.7216831953395255,0.23661556464394845,0.6353525060708403,1.0,-0.13979928746572856,1.0,-0.10326333982342933,0.5054229934924078,0.49023861171366595,0.19305856832971802,0.5026737967914439,0.4919786096256685,0.47593582887700536,-0.7184708452898317,-0.45830235991418034,-0.6414964119311,-0.8498806502493201,-1.0034145890071384,-1.0689317418173583,-0.6366136408429467,-0.5666993612320174,-0.9619317474514386
BULL,816,0.5281862745098039,0.6192003190164955,0.0,1.1887254901960784,0.5281862745098039,0.0,-0.22981007781434581,-0.5316410693138064,0.21970846032852911,-0.31193260898527697,-0.7530259275739302,0.22442961914704773,-0.5285963084268818,-0.4550438684289714,0.2208945428396727,-0.2961968754987573,-0.14455383316288184,-0.17743802918663398,-0.582819121471233,0.2303524052516892,-0.45284125969355027,0.38244967164781607,0.2003782500899744,0.27586360927958686,0.483593650323747,0.18471436800763788,0.3789981624666361,1.0,-0.3737795579111231,1.0,-0.27150117382002,0.4840686274509804,0.5159313725490197,0.25245098039215685,0.4779582366589327,0.5290023201856149,0.4779582366589327,-0.8584758770673355,-0.131761353288409,-0.6841262674221885,-1.2051835690585648,1.2470735640995951,-1.194837612790312,-1.189813724949422,1.1023878227326869,-1.0737076784874613
NORMAL,227,0.4713656387665198,0.4835640864275226,0.0,1.0704845814977975,0.4713656387665198,0.0,-1.0254286244569728,-1.239286980539426,0.1607598613068835,-1.0785271192325425,-2.366172978269627,0.13225095896320488,-2.233922019306421,-0.7519559531394501,0.12967426442318697,-0.6880119961760518,-0.11479132717941842,-0.6474188596409984,-0.9286842237949952,0.11013691720465557,-0.9108025086540432,0.5300558669785849,0.27725874104179893,0.39154229027534665,0.6911257881857356,0.23557289856694702,0.5614017905019881,1.0,-0.3302969680609942,1.0,-0.23388973249891798,0.4669603524229075,0.5242290748898678,0.20704845814977973,0.4672897196261682,0.514018691588785,0.4392523364485981,-0.7036245345163621,-0.2489998819796585,-0.6502335864810628,-1.343726771117702,0.4675279621494998,-1.6223719340824185,-1.4186352797597284,0.4677012668236763,-1.7571843789650843
