regime,n_days,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,frac_invested,alpha_ann__benchmark_bh,alpha_ann__strategy_net,ann_mean_arith__active,ann_mean_arith__benchmark_bh,ann_mean_arith__strategy_net,ann_mean_arith_invested__active,ann_mean_arith_invested__benchmark_bh,ann_mean_arith_invested__strategy_net,ann_return__active,ann_return__benchmark_bh,ann_return__strategy_net,ann_return_cost__strategy_net,ann_return_gross__strategy_net,ann_return_invested__active,ann_return_invested__benchmark_bh,ann_return_invested__strategy_net,ann_vol__active,ann_vol__benchmark_bh,ann_vol__strategy_net,ann_vol_invested__active,ann_vol_invested__benchmark_bh,ann_vol_invested__strategy_net,beta__benchmark_bh,beta__strategy_net,corr_with_benchmark__benchmark_bh,corr_with_benchmark__strategy_net,hit_rate__active,hit_rate__benchmark_bh,hit_rate__strategy_net,hit_rate_invested__active,hit_rate_invested__benchmark_bh,hit_rate_invested__strategy_net,max_drawdown_masked__active,max_drawdown_masked__benchmark_bh,max_drawdown_masked__strategy_net,sharpe_invested__active,sharpe_invested__benchmark_bh,sharpe_invested__strategy_net,sharpe_or_ir__active,sharpe_or_ir__benchmark_bh,sharpe_or_ir__strategy_net
BEAR,461,0.9978308026030369,0.16323767218561142,3.455531453362256,9.160520607375272,0.9978308026030369,0.0,0.15620272024848306,0.32089993796238264,-0.14062084687786983,0.18027909108451257,0.3348875288029817,-0.15366870056393753,0.1812188282390441,0.27516710506793984,-0.16976238691325385,0.17596950909418174,-0.04030901121868413,0.22535674559711794,0.2931220697622081,-0.18048617182987958,0.17702891844514435,0.3960576131926921,0.29956339909080987,0.1907731003545591,0.3960362563014759,0.2993691203308504,0.1909761202456001,1.0,-0.17121480470772596,1.0,-0.2688517866386394,0.5206073752711496,0.49023861171366595,0.5010845986984815,0.5217391304347826,0.4891304347826087,0.5021739130434782,-0.3682544283153597,-0.45830235991418034,-0.179131833235608,0.7401394824292903,-0.6028884062271143,0.9269688703356247,0.6947653470154708,-0.5666993612320174,0.9224021036882856
BULL,816,1.0,0.19444217615173492,9.906862745098039,2.340686274509804,1.0,0.0,0.11695453683845602,-0.05211937198245349,0.21970846032852911,0.16758908834607494,-0.05211937198245349,0.21970846032852911,0.16758908834607494,-0.07219756918125719,0.2208945428396727,0.1683610714135373,-0.04783045292285559,0.2270971512400306,-0.07219756918125719,0.2208945428396727,0.1683610714135373,0.21328250825821554,0.2003782500899744,0.15441756911493937,0.21328250825821554,0.2003782500899744,0.15441756911493937,1.0,0.23046245662049286,1.0,0.29905705700286933,0.5159313725490197,0.5159313725490197,0.5477941176470589,0.5159313725490197,0.5159313725490197,0.5477941176470589,-0.3061477249627146,-0.131761353288409,-0.14456447723674237,-0.3385067522454748,1.1023878227326869,1.0902973824708975,-0.3385067522454748,1.1023878227326869,1.0902973824708975
NORMAL,227,1.0,0.27508619623157066,6.149779735682819,5.11453744493392,1.0,0.0,0.13577156449101271,-0.006597382075894874,0.1607598613068835,0.15416247923098958,-0.006597382075894874,0.1607598613068835,0.15416247923098958,-0.05121346542361538,0.12967426442318697,0.14770288319306002,-0.0669901442524089,0.23007555838131477,-0.05121346542361538,0.12967426442318697,0.14770288319306002,0.3042361740545951,0.27725874104179893,0.18241610290808427,0.3042361740545951,0.27725874104179893,0.18241610290808427,1.0,0.11439991668610267,1.0,0.1738792593966211,0.47577092511013214,0.5242290748898678,0.4889867841409692,0.47577092511013214,0.5242290748898678,0.4889867841409692,-0.20299281724878082,-0.2489998819796585,-0.07778359470716123,-0.16833456962427204,0.4677012668236763,0.8097030954963689,-0.16833456962427204,0.4677012668236763,0.8097030954963689
