date,gross_ret,cost_ret,gross_leverage,n_long,n_short,portfolio_turnover,net_ret,equity,cum_ret
2020-01-02,0.0,0.0,0.0,0,0,1.0,0.0,1000000.0,0.0
2020-01-03,0.01004856802385076,0.0,0.9999999999999999,5,3,0.44999999999999996,0.01004856802385076,1010048.5680238507,0.01004856802385068
2020-01-07,-0.0008776361454167908,0.0,1.0,4,4,0.19999999999999998,-0.0008776361454167908,1009162.1128919263,0.009162112891926366
2020-01-08,0.016556026728986307,0.0,1.0,5,4,0.8333333333333334,0.016556026728986307,1025869.8278068454,0.025869827806845436
2020-01-09,-0.012011422962052015,0.0,1.0,6,2,0.5,-0.012011422962052015,1013547.6714010498,0.013547671401049843
2020-01-10,0.001995765703489228,0.0,0.9999999999999999,5,3,0.2,0.001995765703489228,1015570.4750824835,0.015570475082483437
2020-01-13,-0.009077317440257611,0.0,0.9999999999999999,5,3,0.0,-0.009077317440257611,1006351.8194972065,0.0063518194972065345
2020-01-14,-0.004256786329673627,0.0,0.9999999999999999,5,3,0.7333333333333333,-0.004256786329673627,1002067.9948291287,0.002067994829128672
2020-01-15,-0.0022759954492529797,0.0,1.0,3,2,0.0,-0.0022759954492529797,999787.2926330556,-0.00021270736694445347
2020-01-16,0.0027766374376699448,0.0,1.0,3,2,0.24999999999999997,0.0027766374376699448,1002563.339459487,0.0025633394594870573
2020-01-17,-0.0037238581535735116,0.0,1.0,4,2,0.0,-0.0037238581535735116,998829.935793367,-0.0011700642066330147
2020-01-20,-0.006153850125249591,0.0,1.0,4,2,0.25,-0.006153850125249591,992683.286067882,-0.00731671393211808
2020-01-21,-0.003460949950115755,0.0,1.0,4,2,1.0,-0.003460949950115755,989247.6588984847,-0.01075234110151535
2020-01-22,0.0,0.0,0.0,0,0,0.0,0.0,989247.6588984847,-0.01075234110151535
2020-01-23,0.0,0.0,0.0,0,0,0.0,0.0,989247.6588984847,-0.01075234110151535
2020-01-24,0.0,0.0,0.0,0,0,0.0,0.0,989247.6588984847,-0.01075234110151535
