date,symbol,ret_1d,gross_ret,net_ret,weight,weight_lag1,turnover,cost_ret
2000-01-03,pkn,,,,0.0,0.0,0.0,0.0
2000-01-04,pkn,-0.04134372472822778,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-01-05,pkn,-0.011362109380832264,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-01-06,pkn,0.019708227618702612,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-07,pkn,0.0463929740377067,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-10,pkn,0.011209635757605696,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,pkn,-0.018335654449895267,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-01-12,pkn,-0.003849690955365026,-0.0,-0.0015,1.0,0.0,1.0,0.0015
2000-01-13,pkn,0.0300148141786718,0.0300148141786718,0.0300148141786718,1.0,1.0,0.0,0.0
2000-01-14,pkn,-0.00718429737710613,-0.00718429737710613,-0.00868429737710613,0.0,1.0,1.0,0.0015
2000-01-17,pkn,-0.007187296610703164,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-01-18,pkn,-0.022324197823267444,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-01-19,pkn,0.003943848821531759,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-20,pkn,0.01481571916922797,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-21,pkn,0.00726786358779119,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-24,pkn,-0.029409698315230326,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-01-25,pkn,-0.03785071083186142,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-01-26,pkn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-27,pkn,0.01597213340455461,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-28,pkn,-0.0116037973371248,-0.0,-0.0015,-1.0,0.0,1.0,0.0015
2000-01-31,pkn,-0.015913092339389423,0.015913092339389423,0.014413092339389423,0.0,-1.0,1.0,0.0015
2000-02-01,pkn,-0.011709084818539717,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-02-02,pkn,0.008096261545453842,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-03,pkn,0.035708827485022576,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-04,pkn,-0.011679467599253202,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-02-07,pkn,-0.011362109380832264,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-02-08,pkn,-0.011840038661350749,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-02-09,pkn,-0.02007427558381214,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-02-10,pkn,-0.00807099355100327,-0.0,-0.0015,-1.0,0.0,1.0,0.0015
2000-02-11,pkn,-0.04152450433169286,0.04152450433169286,0.04152450433169286,-1.0,-1.0,0.0,0.0
2000-02-14,pkn,0.030347769028871374,-0.030347769028871374,-0.030347769028871374,-1.0,-1.0,0.0,0.0
2000-02-15,pkn,0.008223212864193696,-0.008223212864193696,-0.009723212864193696,0.0,-1.0,1.0,0.0015
2000-02-16,pkn,-0.02487110451390806,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-02-17,pkn,0.03833105268697934,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-18,pkn,0.008133378042218808,0.0,-0.0015,1.0,0.0,1.0,0.0015
2000-02-21,pkn,-0.020320235148514887,-0.020320235148514887,-0.021820235148514888,0.0,1.0,1.0,0.0015
2000-02-22,pkn,-0.020552217476096146,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-02-23,pkn,-0.00845626763401841,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-02-24,pkn,-0.021113649482524588,-0.0,-0.0015,-1.0,0.0,1.0,0.0015
2000-02-25,pkn,-0.013139098368824986,0.013139098368824986,0.013139098368824986,-1.0,-1.0,0.0,0.0
2000-02-28,pkn,-0.01793438925451507,0.01793438925451507,0.01793438925451507,-1.0,-1.0,0.0,0.0
2000-02-29,pkn,0.004747581218774499,-0.004747581218774499,-0.004747581218774499,-1.0,-1.0,0.0,0.0
2000-03-01,pkn,0.004093991214977111,-0.004093991214977111,-0.00559399121497711,0.0,-1.0,1.0,0.0015
2000-03-02,pkn,0.03155659375663622,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-03,pkn,0.021492094861659927,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-06,pkn,-0.00845626763401841,-0.0,-0.0015,1.0,0.0,1.0,0.0015
2000-03-07,pkn,-0.008788546434581823,-0.008788546434581823,-0.010288546434581823,0.0,1.0,1.0,0.0015
2000-03-08,pkn,-0.016986548556430447,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-03-09,pkn,-0.017722300561539894,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-03-10,pkn,0.01344659163304307,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-13,pkn,-0.02589935293525991,-0.0,-0.0015,-1.0,0.0,1.0,0.0015
2000-03-14,pkn,0.044932798705880295,-0.044932798705880295,-0.046432798705880296,0.0,-1.0,1.0,0.0015
2000-03-15,pkn,-0.03059123847167322,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-03-16,pkn,0.022756423869186637,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-17,pkn,0.012590943822464284,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-20,pkn,-0.008431758530183742,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-03-21,pkn,-0.008627535320782198,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-03-22,pkn,0.04815225825830827,0.0,-0.0015,1.0,0.0,1.0,0.0015
2000-03-23,pkn,0.008223212864193696,0.008223212864193696,0.008223212864193696,1.0,1.0,0.0,0.0
2000-03-24,pkn,0.004334678215281107,0.004334678215281107,0.002834678215281107,0.0,1.0,1.0,0.0015
2000-03-27,pkn,-0.02099809751419013,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-03-28,pkn,0.008744810529105251,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-29,pkn,-0.008669001751313465,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-03-30,pkn,-0.020966666934337574,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-03-31,pkn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-03,pkn,-0.02984744094488201,-0.0,-0.0015,-1.0,0.0,1.0,0.0015
2000-04-04,pkn,-0.004700670437348231,0.004700670437348231,0.004700670437348231,-1.0,-1.0,0.0,0.0
2000-04-05,pkn,-0.01280101932469746,0.01280101932469746,0.01280101932469746,-1.0,-1.0,0.0,0.0
2000-04-06,pkn,0.012967010273795765,-0.012967010273795765,-0.014467010273795764,0.0,-1.0,1.0,0.0015
2000-04-07,pkn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-10,pkn,0.026901677638564436,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,pkn,-0.008627535320782198,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-04-12,pkn,0.02178574706505687,0.0,-0.0015,1.0,0.0,1.0,0.0015
2000-04-13,pkn,0.0,0.0,-0.0015,0.0,1.0,1.0,0.0015
2000-04-14,pkn,-0.00440960313571781,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-04-17,pkn,-0.05138615485564302,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-04-18,pkn,0.00486792615969911,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-19,pkn,-0.00943055292639694,-0.0,-0.0015,-1.0,0.0,1.0,0.0015
2000-04-20,pkn,0.013629019648720542,-0.013629019648720542,-0.015129019648720541,0.0,-1.0,1.0,0.0015
2000-04-25,pkn,0.008861008989553554,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-26,pkn,-0.01280101932469746,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-04-27,pkn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-28,pkn,0.008836841108950555,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-04,pkn,-0.01810738197790962,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-05-05,pkn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-08,pkn,-0.004238981254668928,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-05-09,pkn,0.004257026711097955,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-10,pkn,0.013629019648720542,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-11,pkn,0.013625729490706062,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-12,pkn,-0.017441516388938094,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-05-15,pkn,-0.00943055292639694,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-05-16,pkn,0.022610795503900327,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-17,pkn,-0.004077298789551875,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-05-18,pkn,-0.02226960637980302,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-05-19,pkn,-0.013800443149501906,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-05-22,pkn,-0.018310158157308076,-0.0,-0.0,0.0,0.0,0.0,0.0
2000-05-23,pkn,-0.01921933286478894,-0.0,-0.0015,-1.0,0.0,1.0,0.0015
2000-05-24,pkn,-0.023978171595512965,0.023978171595512965,0.023978171595512965,-1.0,-1.0,0.0,0.0
