date,equity,cum_ret
2000-01-03,100000.0,0.0
2000-01-04,100000.0,0.0
2000-01-05,100000.0,0.0
2000-01-06,100000.0,0.0
2000-01-07,100000.0,0.0
2000-01-10,100000.0,0.0
2000-01-11,100000.0,0.0
2000-01-12,100000.0,0.0
2000-01-13,100000.0,0.0
2000-01-14,100000.0,0.0
2000-01-17,100000.0,0.0
2000-01-18,100000.0,0.0
2000-01-19,100000.0,0.0
2000-01-20,100000.0,0.0
2000-01-21,100000.0,0.0
2000-01-24,100000.0,0.0
2000-01-25,100000.0,0.0
2000-01-26,100000.0,0.0
2000-01-27,100000.0,0.0
2000-01-28,100000.0,0.0
2000-01-31,100000.0,0.0
2000-02-01,100000.0,0.0
2000-02-02,100000.0,0.0
2000-02-03,100000.0,0.0
2000-02-04,100000.0,0.0
2000-02-07,100000.0,0.0
2000-02-08,100000.0,0.0
2000-02-09,100000.0,0.0
2000-02-10,100000.0,0.0
2000-02-11,100000.0,0.0
2000-02-14,100000.0,0.0
2000-02-15,100000.0,0.0
2000-02-16,100000.0,0.0
2000-02-17,100000.0,0.0
2000-02-18,100000.0,0.0
2000-02-21,100000.0,0.0
2000-02-22,100000.0,0.0
2000-02-23,100000.0,0.0
2000-02-24,100000.0,0.0
2000-02-25,100000.0,0.0
2000-02-28,100000.0,0.0
2000-02-29,100000.0,0.0
2000-03-01,100000.0,0.0
2000-03-02,100000.0,0.0
2000-03-03,100000.0,0.0
2000-03-06,100000.0,0.0
2000-03-07,100000.0,0.0
2000-03-08,100000.0,0.0
2000-03-09,100000.0,0.0
2000-03-10,100000.0,0.0
2000-03-13,100000.0,0.0
2000-03-14,100000.0,0.0
2000-03-15,100000.0,0.0
2000-03-16,100000.0,0.0
2000-03-17,100000.0,0.0
2000-03-20,100000.0,0.0
2000-03-21,100000.0,0.0
2000-03-22,100000.0,0.0
2000-03-23,100000.0,0.0
2000-03-24,100000.0,0.0
2000-03-27,99900.0,-0.0010000000000000009
2000-03-28,100086.11147002515,0.0008611147002515196
2000-03-29,98483.50956454632,-0.015164904354536879
2000-03-30,96481.08541115244,-0.03518914588847566
2000-03-31,96252.63528825941,-0.03747364711740597
2000-04-03,93843.45020907682,-0.061565497909231826
2000-04-04,94139.36185444672,-0.058606381455532874
2000-04-05,90763.79639047493,-0.09236203609525062
2000-04-06,94127.23098730527,-0.05872769012694723
2000-04-07,95969.05231554346,-0.04030947684456532
2000-04-10,96121.06254296012,-0.03878937457039877
2000-04-11,94411.97146483955,-0.0558802853516045
2000-04-12,96001.80337227504,-0.03998196627724959
2000-04-13,94990.30394827599,-0.05009696051724011
2000-04-14,95517.86608581782,-0.04482133914182185
2000-04-17,93089.61242709195,-0.0691038757290805
2000-04-18,96048.29040124838,-0.03951709598751618
2000-04-19,94746.02787844301,-0.052539721215569934
2000-04-20,96191.61013194016,-0.03808389868059836
2000-04-25,94231.48279574077,-0.05768517204259227
2000-04-26,92658.4337852099,-0.07341566214790107
2000-04-27,91891.68415907302,-0.08108315840926983
2000-04-28,90200.76876557503,-0.09799231234424965
2000-05-04,90214.20801312564,-0.09785791986874359
2000-05-05,91051.55324273597,-0.08948446757264028
2000-05-08,91168.87176618642,-0.08831128233813579
2000-05-09,91470.63258792236,-0.08529367412077637
2000-05-10,88432.38949074235,-0.11567610509257642
2000-05-11,86517.34305150664,-0.13482656948493354
2000-05-12,85624.76404019813,-0.1437523595980187
2000-05-15,85310.34498682212,-0.14689655013177882
2000-05-16,86314.14132920529,-0.13685858670794715
2000-05-17,87751.89696751791,-0.12248103032482094
2000-05-18,86983.50666939115,-0.13016493330608847
2000-05-19,87452.60309861564,-0.12547396901384356
2000-05-22,87675.91147023042,-0.12324088529769583
2000-05-23,87280.13426671273,-0.12719865733287272
2000-05-24,88578.46158211463,-0.11421538417885368
2000-05-25,86985.13057520112,-0.1301486942479888
