regime,n_days,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,frac_invested,alpha_ann__benchmark_bh,alpha_ann__strategy_net,ann_mean_arith__active,ann_mean_arith__benchmark_bh,ann_mean_arith__strategy_net,ann_mean_arith_invested__active,ann_mean_arith_invested__benchmark_bh,ann_mean_arith_invested__strategy_net,ann_return__active,ann_return__benchmark_bh,ann_return__strategy_net,ann_return_cost__strategy_net,ann_return_gross__strategy_net,ann_return_invested__active,ann_return_invested__benchmark_bh,ann_return_invested__strategy_net,ann_vol__active,ann_vol__benchmark_bh,ann_vol__strategy_net,ann_vol_invested__active,ann_vol_invested__benchmark_bh,ann_vol_invested__strategy_net,beta__benchmark_bh,beta__strategy_net,corr_with_benchmark__benchmark_bh,corr_with_benchmark__strategy_net,hit_rate__active,hit_rate__benchmark_bh,hit_rate__strategy_net,hit_rate_invested__active,hit_rate_invested__benchmark_bh,hit_rate_invested__strategy_net,max_drawdown_masked__active,max_drawdown_masked__benchmark_bh,max_drawdown_masked__strategy_net,sharpe_invested__active,sharpe_invested__benchmark_bh,sharpe_invested__strategy_net,sharpe_or_ir__active,sharpe_or_ir__benchmark_bh,sharpe_or_ir__strategy_net
BEAR,461,0.9978308026030369,0.2581195016119094,5.2299349240780915,9.689804772234273,0.9978308026030369,0.0,-0.2295510308748966,-0.054869531427484915,-0.14062084687786983,-0.19549037830535454,-0.04169883073773328,-0.15366870056393753,-0.19536753130167053,-0.12907882631302214,-0.16976238691325385,-0.1914645219830221,-0.06299293078465096,-0.1369737762830231,-0.11754758146552069,-0.18048617182987958,-0.19139492277697834,0.40863952361873546,0.29956339909080987,0.1837822546712546,0.40869541072531435,0.2993691203308504,0.18398183451418124,1.0,-0.2422162383869296,1.0,-0.39481025965194916,0.5075921908893709,0.49023861171366595,0.48156182212581344,0.508695652173913,0.4891304347826087,0.4826086956521739,-0.6282931323429735,-0.45830235991418034,-0.442461402124519,-0.28761659265247985,-0.6028884062271143,-1.0402925010633357,-0.31587455165852707,-0.5666993612320174,-1.0418009199283649
BULL,816,0.9998978758169935,0.27356037549052253,10.21078431372549,4.735294117647059,1.0,0.0,-0.07530224162984432,-0.2711922266946225,0.21970846032852911,-0.05148376636609389,-0.2711922266946225,0.21970846032852911,-0.05148376636609389,-0.25435595300600944,0.2208945428396727,-0.05617212742852096,-0.06663294622503346,0.011297215282941142,-0.25435595300600944,0.2208945428396727,-0.05617212742852096,0.20989545834519538,0.2003782500899744,0.11229538171540979,0.20989545834519538,0.2003782500899744,0.11229538171540979,1.0,0.10840945873515641,1.0,0.1934442654961918,0.4877450980392157,0.5159313725490197,0.5024509803921569,0.4877450980392157,0.5159313725490197,0.5024509803921569,-0.6266272279293907,-0.131761353288409,-0.27474071947848244,-1.2118220899648722,1.1023878227326869,-0.5002176097577903,-1.2118220899648722,1.1023878227326869,-0.5002176097577903
NORMAL,227,1.0003671071953009,0.30616971134592286,7.356828193832599,7.5550660792951545,1.0,0.0,0.05120785752799875,-0.09347692494653541,0.1607598613068835,0.06728293636034804,-0.09347692494653541,0.1607598613068835,0.06728293636034804,-0.1296372750191026,0.12967426442318697,0.054214754613393534,-0.0742752783226962,0.13882424060352472,-0.1296372750191026,0.12967426442318697,0.054214754613393534,0.3020674400517606,0.27725874104179893,0.17247012218176866,0.3020674400517606,0.27725874104179893,0.17247012218176866,1.0,0.0999943561885928,1.0,0.1607484760688894,0.44933920704845814,0.5242290748898678,0.4801762114537445,0.44933920704845814,0.5242290748898678,0.4801762114537445,-0.27474755905218273,-0.2489998819796585,-0.18364903055317272,-0.42916666224234123,0.4677012668236763,0.31434287821896395,-0.42916666224234123,0.4677012668236763,0.31434287821896395
