regime,n_days,series,ann_return,ann_mean_arith,ann_vol,sharpe_or_ir,max_drawdown_masked,hit_rate,frac_invested,hit_rate_invested,ann_return_invested,ann_mean_arith_invested,ann_vol_invested,sharpe_invested,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,beta,alpha_ann,corr_with_benchmark,ann_return_gross,ann_return_cost
BEAR,2220,active,0.10007285455343529,0.1375766526661032,0.2907040631711906,0.34424305412788164,-0.34388439384143377,0.5027027027027027,0.20810810810810812,0.5151515151515151,0.27861402642724986,0.2931357672700096,0.3068767436340961,0.9079020558151345,0.20810810810810812,0.08966966966966967,0.37027027027027026,0.0,,,,,
BEAR,2220,benchmark_bh,-0.16487161170871933,-0.14329583840595983,0.27074834167672446,-0.6089478173261621,-0.8585801913140454,0.4873873873873874,0.20810810810810812,0.44155844155844154,-0.2638451534368943,-0.28570847796802185,0.2022659210457699,-1.304446898779305,0.20810810810810812,0.08966966966966967,0.37027027027027026,0.0,1.0,0.0,1.0,,
BEAR,2220,strategy_net,-0.018581756361682467,-0.005719185739856635,0.1613299991779721,-0.11517855610464546,-0.36429979696947223,0.09594594594594595,0.20810810810810812,0.461038961038961,-0.053706398300178204,0.007427289301987691,0.35359874471352337,-0.1518851497724907,0.20810810810810812,0.08966966966966967,0.37027027027027026,0.0,0.1011066683692152,0.008768979072543398,0.1696799289214967,0.003939746609624706,-0.022356870680725116
BULL,3072,active,0.11605293553016449,0.15609372768134278,0.30767870160792926,0.3771887196730606,-0.6333858640175329,0.4866536458333333,0.6695963541666666,0.5065629557608167,0.4322652138681915,0.419090981229517,0.3497384629783065,1.2359670428785636,0.6692708333333334,0.201171875,1.0250651041666667,0.0,,,,,
BULL,3072,benchmark_bh,0.2592552744696841,0.2496940779705131,0.1954272485775735,1.3266076064452932,-0.18250030616847313,0.5237630208333334,0.6695963541666666,0.512396694214876,0.20147926398687188,0.20309868282614724,0.19743358952325735,1.0204913179838528,0.6692708333333334,0.201171875,1.0250651041666667,0.0,1.0,0.0,1.0,,
BULL,3072,strategy_net,0.4270051323873061,0.4057878056518559,0.3196402183363268,1.3358930068618884,-0.4324603112383625,0.3359375,0.6695963541666666,0.5017015070491007,0.7284282583450405,0.6221896640556642,0.38988172416268857,1.8683313764178502,0.6692708333333334,0.201171875,1.0250651041666667,0.0,0.5982368452270651,0.25641160817489533,0.3657605456189434,0.5014401360797596,-0.04946410477225471
NORMAL,1217,active,0.252634287104859,0.2833692494889718,0.3433152163736787,0.7358668508006976,-0.5172083036210846,0.5250616269515201,0.3492193919474117,0.5223529411764706,0.4075885357172544,0.44016099705447104,0.4485784620680782,0.9086226160706685,0.3492193919474117,0.11900849082443167,0.5751848808545604,0.009038619556285949,,,,,
NORMAL,1217,benchmark_bh,-0.12745184804400578,-0.10251346306000668,0.2596331868720622,-0.4908919756348768,-0.6944940001165036,0.48397699260476584,0.3492193919474117,0.5058823529411764,0.07052538070782655,0.09669898431976555,0.23851703056054066,0.29568278852912233,0.3492193919474117,0.11900849082443167,0.5751848808545604,0.009038619556285949,1.0,0.0,1.0,,
NORMAL,1217,strategy_net,0.1535720939594949,0.1808557864289651,0.2800442507381607,0.5483850982646441,-0.45955492969261236,0.1741988496302383,0.3492193919474117,0.4988235294117647,0.5343040083444408,0.5368599813742365,0.4730545943726751,1.1294764170993614,0.3492193919474117,0.11900849082443167,0.5751848808545604,0.009038619556285949,0.2074550414064933,0.2021227211528018,0.1923346520811251,0.1887074138744671,-0.02956233674524622
