regime,n_days,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,frac_invested,alpha_ann__benchmark_bh,alpha_ann__strategy_net,ann_mean_arith__active,ann_mean_arith__benchmark_bh,ann_mean_arith__strategy_net,ann_mean_arith_invested__active,ann_mean_arith_invested__benchmark_bh,ann_mean_arith_invested__strategy_net,ann_return__active,ann_return__benchmark_bh,ann_return__strategy_net,ann_return_cost__strategy_net,ann_return_gross__strategy_net,ann_return_invested__active,ann_return_invested__benchmark_bh,ann_return_invested__strategy_net,ann_vol__active,ann_vol__benchmark_bh,ann_vol__strategy_net,ann_vol_invested__active,ann_vol_invested__benchmark_bh,ann_vol_invested__strategy_net,beta__benchmark_bh,beta__strategy_net,corr_with_benchmark__benchmark_bh,corr_with_benchmark__strategy_net,hit_rate__active,hit_rate__benchmark_bh,hit_rate__strategy_net,hit_rate_invested__active,hit_rate_invested__benchmark_bh,hit_rate_invested__strategy_net,max_drawdown_masked__active,max_drawdown_masked__benchmark_bh,max_drawdown_masked__strategy_net,sharpe_invested__active,sharpe_invested__benchmark_bh,sharpe_invested__strategy_net,sharpe_or_ir__active,sharpe_or_ir__benchmark_bh,sharpe_or_ir__strategy_net
BEAR,2220,0.9175675675675675,0.9125374925374926,2.0617117117117116,1.54009009009009,0.9175675675675675,0.0,-0.22012192771284686,-0.11451226631748081,-0.14329583840595983,-0.2578081047234407,-0.12246702848404097,-0.14551234927051876,-0.26797937775455977,-0.17039437262677715,-0.16487161170871933,-0.2687289789963785,-0.2055457743662812,-0.08025151042543921,-0.17878659235166972,-0.16592683774140982,-0.27970299429603374,0.3792093697321282,0.27074834167672446,0.33023127060714375,0.3849506866170914,0.26712228823095546,0.3447306929595101,1.0,0.2629956140375002,1.0,0.21562351208591113,0.4981981981981982,0.4873873873873874,0.4477477477477477,0.4953362788414335,0.4899361806578301,0.4879725085910653,-0.8570211835674343,-0.8585801913140454,-0.9441768908003346,-0.4644402479778088,-0.6211643320378737,-0.8113666697177031,-0.4493411456239675,-0.6089478173261621,-0.8137599401241112
BULL,3072,0.9192708333333334,0.881269965205512,1.2897135416666667,2.23046875,0.9192708333333334,0.0,-0.25864812127113634,-0.5402955921433008,0.2496940779705131,-0.2906015141727877,-0.5306586080395345,0.22738670593655877,-0.30327190210297583,-0.4500778749805555,0.2592552744696841,-0.27634903416641754,-0.19925571319567803,-0.09682942407168904,-0.44630342396855616,0.2321046931465338,-0.28751357607751094,0.33576129741889876,0.1954272485775735,0.2544975734030393,0.34391504716526455,0.19285615207498258,0.2654122555520056,1.0,-0.12797016717963486,1.0,-0.09826756828177097,0.4654947916666667,0.5237630208333334,0.44140625,0.46919263456090654,0.5212464589235127,0.4801699716713881,-0.9994551101861031,-0.18250030616847313,-0.9835222107130857,-1.2977141525130478,1.2035119992246417,-1.0832716653552372,-1.3404697874366216,1.3266076064452932,-1.0858611752999814
NORMAL,1217,0.905505341002465,0.8468958846321213,1.990139687756779,1.6318816762530814,0.9046836483155299,0.0,-0.5487135488226975,-0.4737069228896551,-0.10251346306000668,-0.5762203859496619,-0.5535003435507665,-0.06809476062792408,-0.6215951041786905,-0.4285263840212875,-0.12745184804400578,-0.4758978970892722,-0.19228340688147783,-0.35143633694345444,-0.47502158761625146,-0.0964599968361688,-0.5028159227951634,0.40502755986684597,0.2596331868720622,0.36443527143128185,0.41609510137584865,0.25783494654954414,0.3830324977883774,1.0,0.2683241430529286,1.0,0.19116111374714517,0.5119145439605588,0.48397699260476584,0.4256368118323747,0.5040871934604905,0.49318801089918257,0.47048138056312444,-0.9356224953399042,-0.6944940001165036,-0.9558515913828943,-1.14161783218682,-0.3741152940167231,-1.3127239221173486,-1.058017839976536,-0.4908919756348768,-1.3058502686093814
