regime,n_days,series,ann_return,ann_mean_arith,ann_vol,sharpe_or_ir,max_drawdown_masked,hit_rate,frac_invested,hit_rate_invested,ann_return_invested,ann_mean_arith_invested,ann_vol_invested,sharpe_invested,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,beta,alpha_ann,corr_with_benchmark,ann_return_gross,ann_return_cost
BEAR,461,active,-0.25473477958277224,-0.21271236015208897,0.3997560293930617,-0.6372256097538512,-0.5255385440064844,0.4967462039045553,0.9392624728850325,0.49884526558891457,-0.21493237161430112,-0.15793527428189447,0.4065252346292885,-0.5287061006441545,0.9392624728850325,0.9246472616320771,2.6811279826464207,1.8112798264642083,,,,,
BEAR,461,benchmark_bh,-0.16976238691325385,-0.14062084687786983,0.29956339909080987,-0.5666993612320174,-0.45830235991418034,0.49023861171366595,0.9392624728850325,0.48729792147806006,-0.2240773657058478,-0.2077705188839508,0.30092300541827705,-0.7446335496828654,0.9392624728850325,0.9246472616320771,2.6811279826464207,1.8112798264642083,1.0,0.0,1.0,,
BEAR,461,strategy_net,-0.3427981654400839,-0.35333320702995846,0.35940925011766095,-0.9537822560990319,-0.5846983305768385,0.4598698481561822,0.9392624728850325,0.4896073903002309,-0.35365845554506403,-0.3657057931658449,0.3708293200946435,-0.9536960439233956,0.9392624728850325,0.9246472616320771,2.6811279826464207,1.8112798264642083,0.32933765274609145,-0.30702146739203323,0.2744990750040802,-0.17078781959054623,-0.2079673049118781
BULL,816,active,-0.4274854799387374,-0.5080929199842827,0.3109990557116509,-1.374555555998502,-0.8436214686120109,0.46078431372549017,0.9607843137254902,0.4642857142857143,-0.40501395199606716,-0.46856994841687577,0.31444693477216723,-1.288020035207277,0.9607843137254902,0.9337924466600936,1.6875,2.738970588235294,,,,,
BULL,816,benchmark_bh,0.2208945428396727,0.21970846032852911,0.2003782500899744,1.1023878227326869,-0.131761353288409,0.5159313725490197,0.9607843137254902,0.5114795918367347,0.16934954509918487,0.176450408775173,0.1999123024847584,0.8471191767304883,0.9607843137254902,0.9337924466600936,1.6875,2.738970588235294,1.0,0.0,1.0,,
BULL,816,strategy_net,-0.2706806695341588,-0.2883844596557534,0.23182568826618816,-1.1676042959629063,-0.659862000388116,0.44730392156862747,0.9607843137254902,0.4655612244897959,-0.2742047156609153,-0.2921195396417025,0.23650280798712486,-1.1594142073604594,0.9607843137254902,0.9337924466600936,1.6875,2.738970588235294,-0.03518951730634373,-0.2806530249886725,-0.030416016240873322,-0.07752438718544685,-0.20979120564444775
NORMAL,227,active,-0.5798981939429702,-0.7803096954085829,0.4081857743451037,-1.4206722291421428,-0.5235485307148271,0.4713656387665198,0.9383259911894273,0.47417840375586856,-0.5721446011281812,-0.7575997329067058,0.41868174365332983,-1.3665382114246645,0.9383259911894273,0.9140049011194384,2.105726872246696,2.444933920704846,,,,,
NORMAL,227,benchmark_bh,0.12967426442318697,0.1607598613068835,0.27725874104179893,0.4677012668236763,-0.2489998819796585,0.5242290748898678,0.9383259911894273,0.5211267605633803,0.06890154424374328,0.10679310219738296,0.28201992719495117,0.2443144529858484,0.9383259911894273,0.9140049011194384,2.105726872246696,2.444933920704846,1.0,0.0,1.0,,
NORMAL,227,strategy_net,-0.4972000420011088,-0.6195498341016976,0.361962907847087,-1.3736215264663343,-0.46232013707632247,0.44052863436123346,0.9383259911894273,0.4694835680751174,-0.5148442416097714,-0.650806630709321,0.37357955545575644,-1.3781381611787509,0.9383259911894273,0.9140049011194384,2.105726872246696,2.444933920704846,0.268457370079159,-0.662707003682434,0.20563475106953294,-0.36709918924298546,-0.20583443750005048
