regime,n_days,series,ann_return,ann_mean_arith,ann_vol,sharpe_or_ir,max_drawdown_masked,hit_rate,frac_invested,hit_rate_invested,ann_return_invested,ann_mean_arith_invested,ann_vol_invested,sharpe_invested,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,beta,alpha_ann,corr_with_benchmark,ann_return_gross,ann_return_cost
BEAR,1451,active,-0.10340617034178656,-0.06523267705346528,0.2979121318773225,-0.34710291819994854,-0.5884476007345818,0.48656099241902134,0.0,,,,,,,,,,,,,,
BEAR,1451,benchmark_bh,-0.12355934242871003,-0.10338201892011269,0.23773379229791924,-0.5197382384489538,-0.6559019541766782,0.49896623018607855,0.0,,,,,,,,,,1.0,0.0,1.0,,
BEAR,1451,strategy_net,-0.16377609795113046,-0.1686146959735779,0.14257926738301077,-1.1486669903498565,-0.6637341556471508,0.057201929703652656,0.0,,,,,,,,,,-0.1053254758749784,-0.1795034563132548,-0.17561757235067116,-0.11708686544554425,-0.0525357307015375
BULL,1709,active,-0.25594814638950514,-0.2764479257148014,0.19415948924299894,-1.3182366073757799,-0.8767699288357269,0.474824355971897,0.0,,,,,,,,,,,,,,
BULL,1709,benchmark_bh,0.19898594603858544,0.1964724555482573,0.17298813134723168,1.1502866959073017,-0.13176135328840932,0.5119953188999414,0.0,,,,,,,,,,1.0,0.0,1.0,,
BULL,1709,strategy_net,-0.08184687773918164,-0.08140316148339236,0.08879680403180233,-0.92173224736634,-0.44336508258967955,0.04039812646370024,0.0,,,,,,,,,,0.0019305270786657768,-0.08177970068229308,0.003761159029332707,-0.04581699670993178,-0.03756929406496279
NORMAL,725,active,-0.009893376139664678,0.029166265696283847,0.2794726337382016,-0.035400160678817606,-0.3766792537523995,0.5089655172413793,0.0,,,,,,,,,,,,,,
NORMAL,725,benchmark_bh,-0.09677148606386543,-0.0775009091527304,0.2195306676033941,-0.44081078566523374,-0.4026529262675632,0.496551724137931,0.0,,,,,,,,,,1.0,0.0,1.0,,
NORMAL,725,strategy_net,-0.05462332035334827,-0.048334643456446585,0.12473722404776683,-0.4379071345409357,-0.20320285222897572,0.06758620689655172,0.0,,,,,,,,,,-0.14889767492867706,-0.05987434863414677,-0.26205173500709206,-0.01000015158096812,-0.044877643572417636
