regime,n_days,series,ann_return,ann_mean_arith,ann_vol,sharpe_or_ir,max_drawdown_masked,hit_rate,frac_invested,hit_rate_invested,ann_return_invested,ann_mean_arith_invested,ann_vol_invested,sharpe_invested,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,beta,alpha_ann,corr_with_benchmark,ann_return_gross,ann_return_cost
BEAR,461,active,0.25210938826860807,0.28386299266146114,0.3463465224835963,0.727910840451844,-0.29824516711416305,0.5162689804772235,0.21908893709327548,0.5445544554455446,1.2635370528634882,0.9033196403709098,0.41979462472598245,3.0098933584208036,0.21908893709327548,0.07136659436008679,0.6030368763557483,0.0,,,,,
BEAR,461,benchmark_bh,-0.16976238691325385,-0.14062084687786983,0.29956339909080987,-0.5666993612320174,-0.45830235991418034,0.49023861171366595,0.21908893709327548,0.48514851485148514,-0.23642440586786684,-0.24951143040818105,0.20048174148962566,-1.179281485242391,0.21908893709327548,0.07136659436008679,0.6030368763557483,0.0,1.0,0.0,1.0,,
BEAR,461,strategy_net,0.12679808443771368,0.14324214578359148,0.2227813309996072,0.5691593809444349,-0.1565643970664895,0.10845986984815618,0.21908893709327548,0.49504950495049505,0.7244240859673183,0.6538082099627296,0.4745643290237918,1.5265034509810367,0.21908893709327548,0.07136659436008679,0.6030368763557483,0.0,0.10816927113519688,0.1584530002967848,0.14545004463813052,0.12679808443771368,0.0
BULL,790,active,-0.019764312721124666,0.007508819482439981,0.2347253821782619,-0.08420185553735593,-0.48918399628065834,0.49240506329113926,0.8063291139240506,0.5039246467817896,0.12338416959405385,0.1457479307597977,0.2428998235547926,0.5079631915262435,0.8050632911392405,0.15644364074743822,2.6860759493670887,0.0,,,,,
BULL,790,benchmark_bh,0.18682396821585767,0.1916587782273947,0.20174207627485058,0.9260535613866258,-0.131761353288409,0.5088607594936709,0.8063291139240506,0.4976452119309262,0.08390061027440954,0.10125741019902397,0.20339741363946803,0.41249595446246684,0.8050632911392405,0.15644364074743822,2.6860759493670887,0.0,1.0,0.0,1.0,,
BULL,790,strategy_net,0.1783455431162304,0.199167597709834,0.2647095607249469,0.6737404672041476,-0.34913703004989083,0.41645569620253164,0.8063291139240506,0.5164835164835165,0.2257207247761277,0.24700534095882085,0.29471094063500297,0.7659054811123586,0.8050632911392405,0.15644364074743822,2.6860759493670887,0.0,0.683970467414059,0.06807865358163535,0.5212717735955509,0.1783455431162304,0.0
NORMAL,227,active,0.2808193352210233,0.3408767821300204,0.451385344640006,0.6221277198199369,-0.29207681174880473,0.4977973568281938,0.44052863436123346,0.46,0.45609961815666167,0.5212322383130986,0.5730180503405488,0.79596029808415,0.44052863436123346,0.08271449548982589,1.6211453744493391,0.0,,,,,
NORMAL,227,benchmark_bh,0.12967426442318697,0.1607598613068835,0.27725874104179893,0.4677012668236763,-0.2489998819796585,0.5242290748898678,0.44052863436123346,0.59,0.8171152406259428,0.6174829422886731,0.1977159944761263,4.132772580139475,0.44052863436123346,0.08271449548982589,1.6211453744493391,0.0,1.0,0.0,1.0,,
NORMAL,227,strategy_net,0.5471254236731042,0.5016366434369033,0.3820509083962303,1.4320746571963987,-0.22352296484464207,0.2511013215859031,0.44052863436123346,0.57,1.6929168075744636,1.13871518060177,0.5731116832529211,2.9539038498842802,0.44052863436123346,0.08271449548982589,1.6211453744493391,0.0,0.12414451987902768,0.4816791876391412,0.09009310678879527,0.5471254236731042,0.0
