regime,n_days,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,frac_invested,alpha_ann__benchmark_bh,alpha_ann__strategy_net,ann_mean_arith__active,ann_mean_arith__benchmark_bh,ann_mean_arith__strategy_net,ann_mean_arith_invested__active,ann_mean_arith_invested__benchmark_bh,ann_mean_arith_invested__strategy_net,ann_return__active,ann_return__benchmark_bh,ann_return__strategy_net,ann_return_cost__strategy_net,ann_return_gross__strategy_net,ann_return_invested__active,ann_return_invested__benchmark_bh,ann_return_invested__strategy_net,ann_vol__active,ann_vol__benchmark_bh,ann_vol__strategy_net,ann_vol_invested__active,ann_vol_invested__benchmark_bh,ann_vol_invested__strategy_net,beta__benchmark_bh,beta__strategy_net,corr_with_benchmark__benchmark_bh,corr_with_benchmark__strategy_net,hit_rate__active,hit_rate__benchmark_bh,hit_rate__strategy_net,hit_rate_invested__active,hit_rate_invested__benchmark_bh,hit_rate_invested__strategy_net,max_drawdown_masked__active,max_drawdown_masked__benchmark_bh,max_drawdown_masked__strategy_net,sharpe_invested__active,sharpe_invested__benchmark_bh,sharpe_invested__strategy_net,sharpe_or_ir__active,sharpe_or_ir__benchmark_bh,sharpe_or_ir__strategy_net
BEAR,461,0.9978308026030369,0.4383822733063514,6.318872017353579,8.572668112798265,0.9978308026030369,0.0,-0.19989073174037078,-0.022147318735543636,-0.14062084687786983,-0.16276816561341123,-0.00890548280080952,-0.15366870056393753,-0.16257418336474475,-0.10785153672187275,-0.16976238691325385,-0.171487665884686,-0.10462418240377136,-0.07441676660301888,-0.09599191275041141,-0.18048617182987958,-0.17137238202830452,0.43364845734859075,0.29956339909080987,0.22568268877358988,0.43374994962454205,0.2993691203308504,0.22592771052576535,1.0,-0.2639904889720992,1.0,-0.3504118487504543,0.5162689804772235,0.49023861171366595,0.4229934924078091,0.5173913043478261,0.4891304347826087,0.42391304347826086,-0.6033443671198009,-0.45830235991418034,-0.47537180179836114,-0.22130702916162387,-0.6028884062271143,-0.7585275025781345,-0.24870729941321038,-0.5666993612320174,-0.7598618521278183
BULL,816,0.9999387254901961,0.38328396140896137,8.811274509803921,6.079656862745098,1.0,0.0,-0.03263678904138632,-0.2380879257645372,0.21970846032852911,-0.018379465436007603,-0.2380879257645372,0.21970846032852911,-0.018379465436007603,-0.23122849004072377,0.2208945428396727,-0.025262428495646194,-0.09209758055980555,0.07375212881823012,-0.23122849004072377,0.2208945428396727,-0.025262428495646194,0.22227417254705437,0.2003782500899744,0.12027210968507918,0.22227417254705437,0.2003782500899744,0.12027210968507918,1.0,0.06489201000298213,1.0,0.1081127407115884,0.46078431372549017,0.5159313725490197,0.4852941176470588,0.46078431372549017,0.5159313725490197,0.4852941176470588,-0.5825111199653982,-0.131761353288409,-0.2000239742615153,-1.0402850110341715,1.1023878227326869,-0.21004394586403619,-1.0402850110341715,1.1023878227326869,-0.21004394586403619
NORMAL,227,1.0002202643171807,0.43541033122530914,7.691629955947136,7.180616740088106,1.0,0.0,0.07859273352316327,-0.08610578254176283,0.1607598613068835,0.07465407876512262,-0.08610578254176283,0.1607598613068835,0.07465407876512262,-0.1403616359323705,0.12967426442318697,0.05306406131107577,-0.10395461302818387,0.1755203275749211,-0.1403616359323705,0.12967426442318697,0.05306406131107577,0.3556356634384098,0.27725874104179893,0.21409701321937744,0.3556356634384098,0.27725874104179893,0.21409701321937744,1.0,-0.024500237347940598,1.0,-0.03172816313581562,0.4889867841409692,0.5242290748898678,0.4845814977973568,0.4889867841409692,0.5242290748898678,0.4845814977973568,-0.24531180761716198,-0.2489998819796585,-0.15220376370034638,-0.3946781787161197,0.4677012668236763,0.2478505445412401,-0.3946781787161197,0.4677012668236763,0.2478505445412401
