regime,n_days,series,ann_return,ann_mean_arith,ann_vol,sharpe_or_ir,max_drawdown_masked,hit_rate,frac_invested,hit_rate_invested,ann_return_invested,ann_mean_arith_invested,ann_vol_invested,sharpe_invested,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,beta,alpha_ann,corr_with_benchmark,ann_return_gross,ann_return_cost
BEAR,2220,active,-0.09316021996507373,-0.02916989892413617,0.37208309490625147,-0.2503747717658229,-0.7457517158109754,0.5045045045045045,1.0,0.5045045045045045,-0.09316021996507373,-0.02916989892413617,0.37208309490625147,-0.2503747717658229,1.000045045045045,0.4297001484501485,5.455405405405405,7.129729729729729,,,,,
BEAR,2220,benchmark_bh,-0.16487161170871933,-0.14329583840595983,0.27074834167672446,-0.6089478173261621,-0.8585801913140454,0.4873873873873874,1.0,0.4873873873873874,-0.16487161170871933,-0.14329583840595983,0.27074834167672446,-0.6089478173261621,1.000045045045045,0.4297001484501485,5.455405405405405,7.129729729729729,1.0,0.0,1.0,,
BEAR,2220,strategy_net,-0.17393395471072837,-0.17246573733009596,0.19308299456208552,-0.9008248246056707,-0.8339574653626551,0.43873873873873875,1.0,0.43873873873873875,-0.17393395471072837,-0.17246573733009596,0.19308299456208552,-0.9008248246056707,1.000045045045045,0.4297001484501485,5.455405405405405,7.129729729729729,-0.190029668558063,-0.19969619800813027,-0.26646685146023763,-0.07920216424465332,-0.10266355273008243
BULL,3072,active,-0.26552892439083886,-0.2844420727941909,0.21811492309330768,-1.2173808221148072,-0.9786094161097494,0.4716796875,1.0,0.4716796875,-0.26552892439083886,-0.2844420727941909,0.21811492309330768,-1.2173808221148072,0.9999837239583332,0.39615372601212445,7.328776041666667,4.757486979166667,,,,,
BULL,3072,benchmark_bh,0.2592552744696841,0.2496940779705131,0.1954272485775735,1.3266076064452932,-0.18250030616847313,0.5237630208333334,1.0,0.5237630208333334,0.2592552744696841,0.2496940779705131,0.1954272485775735,1.3266076064452932,0.9999837239583332,0.39615372601212445,7.328776041666667,4.757486979166667,1.0,0.0,1.0,,
BULL,3072,strategy_net,-0.042556087787924524,-0.0347479948236778,0.1321120788546293,-0.32212109715381504,-0.631162285673796,0.4905598958333333,1.0,0.4905598958333333,-0.042556087787924524,-0.0347479948236778,0.1321120788546293,-0.32212109715381504,0.9999837239583332,0.39615372601212445,7.328776041666667,4.757486979166667,0.10566782902397842,-0.06113262596296591,0.156309500753859,0.058137755876155106,-0.09504144797982206
NORMAL,1217,active,0.09056499686037744,0.14461739550180397,0.3398687341279405,0.2664705157205931,-0.3793247880747862,0.5094494658997535,0.9827444535743632,0.5091973244147158,0.10224437141519993,0.15501830668669822,0.33914516563194946,0.30147671786705815,0.9827033689400163,0.4161255114829478,5.483155299917831,6.244864420706656,,,,,
NORMAL,1217,benchmark_bh,-0.12745184804400578,-0.10251346306000668,0.2596331868720622,-0.4908919756348768,-0.6944940001165036,0.48397699260476584,0.9827444535743632,0.48494983277591974,-0.13509658399817626,-0.11196438880904999,0.25704304053303195,-0.5255796216774651,0.9827033689400163,0.4161255114829478,5.483155299917831,6.244864420706656,1.0,0.0,1.0,,
NORMAL,1217,strategy_net,0.026482480023141575,0.04210393244179731,0.17882606909968424,0.14809071270464075,-0.36246850075921067,0.4774034511092851,0.9827444535743632,0.48578595317725753,0.02717019759607764,0.043053917877648264,0.18038806722853867,0.15062081441149297,0.9827033689400163,0.4161255114829478,5.483155299917831,6.244864420706656,-0.11958720669392302,0.029844633745930448,-0.17362573443228524,0.1402237735376668,-0.09958848722989877
