regime,n_days,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,frac_invested,alpha_ann__benchmark_bh,alpha_ann__strategy_net,ann_mean_arith__active,ann_mean_arith__benchmark_bh,ann_mean_arith__strategy_net,ann_mean_arith_invested__active,ann_mean_arith_invested__benchmark_bh,ann_mean_arith_invested__strategy_net,ann_return__active,ann_return__benchmark_bh,ann_return__strategy_net,ann_return_cost__strategy_net,ann_return_gross__strategy_net,ann_return_invested__active,ann_return_invested__benchmark_bh,ann_return_invested__strategy_net,ann_vol__active,ann_vol__benchmark_bh,ann_vol__strategy_net,ann_vol_invested__active,ann_vol_invested__benchmark_bh,ann_vol_invested__strategy_net,beta__benchmark_bh,beta__strategy_net,corr_with_benchmark__benchmark_bh,corr_with_benchmark__strategy_net,hit_rate__active,hit_rate__benchmark_bh,hit_rate__strategy_net,hit_rate_invested__active,hit_rate_invested__benchmark_bh,hit_rate_invested__strategy_net,max_drawdown_masked__active,max_drawdown_masked__benchmark_bh,max_drawdown_masked__strategy_net,sharpe_invested__active,sharpe_invested__benchmark_bh,sharpe_invested__strategy_net,sharpe_or_ir__active,sharpe_or_ir__benchmark_bh,sharpe_or_ir__strategy_net
BEAR,461,0.9978308026030369,0.1388613435251179,4.019522776572668,5.793926247288503,0.9978308026030369,0.0,-0.14700557800110414,-0.03334783726359803,-0.14062084687786983,-0.17396868414146754,-0.020130350282185728,-0.15366870056393753,-0.1737990508461229,-0.07363687172424938,-0.16976238691325385,-0.1727196544598969,-0.03439344041089776,-0.1432278201875945,-0.06124562222263452,-0.18048617182987958,-0.17260721864117068,0.2943843781671535,0.29956339909080987,0.17702356322937754,0.2941614598221135,0.2993691203308504,0.1772157271632543,1.0,0.19174330647987808,1.0,0.3244724916512753,0.48590021691973967,0.49023861171366595,0.42733188720173537,0.48695652173913045,0.4891304347826087,0.4282608695652174,-0.3124515550920465,-0.45830235991418034,-0.31969031705628725,-0.20820410076721546,-0.6028884062271143,-0.9739949236117279,-0.2501385168014515,-0.5666993612320174,-0.9756873678793604
BULL,816,1.0,0.09648303765950822,4.4056372549019605,5.811274509803922,1.0,0.0,-0.08140677546513343,-0.29611811058608045,0.21970846032852911,-0.07640965025755135,-0.29611811058608045,0.21970846032852911,-0.07640965025755135,-0.27566711121235177,0.2208945428396727,-0.08001240258265985,-0.0240241571805333,-0.05737143460105687,-0.27566711121235177,0.2208945428396727,-0.08001240258265985,0.22857964362779745,0.2003782500899744,0.11799850417984684,0.22857964362779745,0.2003782500899744,0.11799850417984684,1.0,0.02274434584863005,1.0,0.038623135541137166,0.49019607843137253,0.5159313725490197,0.47671568627450983,0.49019607843137253,0.5159313725490197,0.47671568627450983,-0.671852522517476,-0.131761353288409,-0.3468889607899792,-1.2060002668532817,1.1023878227326869,-0.6780798039669159,-1.2060002668532817,1.1023878227326869,-0.6780798039669159
NORMAL,227,1.0,0.10997657506468077,3.881057268722467,5.71806167400881,1.0,0.0,0.095016529480514,-0.06922720474785518,0.1607598613068835,0.09153265655902787,-0.06922720474785518,0.1607598613068835,0.09153265655902787,-0.1133227944568933,0.12967426442318697,0.08351089348335661,-0.027337759818243268,0.11397444021792102,-0.1133227944568933,0.12967426442318697,0.08351089348335661,0.3206999073224826,0.27725874104179893,0.15047980974023759,0.3206999073224826,0.27725874104179893,0.15047980974023759,1.0,-0.0216712859364538,1.0,-0.03992929992316016,0.4713656387665198,0.5242290748898678,0.5330396475770925,0.4713656387665198,0.5242290748898678,0.5330396475770925,-0.27097426178892436,-0.2489998819796585,-0.07007576850092112,-0.35336085814000745,0.4677012668236763,0.5549641086569382,-0.35336085814000745,0.4677012668236763,0.5549641086569382
