regime,n_days,series,ann_return,ann_mean_arith,ann_vol,sharpe_or_ir,max_drawdown_masked,hit_rate,frac_invested,hit_rate_invested,ann_return_invested,ann_mean_arith_invested,ann_vol_invested,sharpe_invested,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,beta,alpha_ann,corr_with_benchmark,ann_return_gross,ann_return_cost
BEAR,461,active,0.12883339262797167,0.1946665471355175,0.3848901729874923,0.33472767472335113,-0.43017700949789384,0.5075921908893709,0.9978308026030369,0.508695652173913,0.14442461431795794,0.20837971756127574,0.3848616318849302,0.3752637372829606,0.9978308026030369,0.17273586259486476,4.442516268980477,10.501084598698482,,,,,
BEAR,461,benchmark_bh,-0.16976238691325385,-0.14062084687786983,0.29956339909080987,-0.5666993612320174,-0.45830235991418034,0.49023861171366595,0.9978308026030369,0.4891304347826087,-0.18048617182987958,-0.15366870056393753,0.2993691203308504,-0.6028884062271143,0.9978308026030369,0.17273586259486476,4.442516268980477,10.501084598698482,1.0,0.0,1.0,,
BEAR,461,strategy_net,0.039840139544583986,0.054045700257646656,0.17333531070894362,0.22984433686152758,-0.19357374293411467,0.5140997830802603,0.9978308026030369,0.5152173913043478,0.04049859629461139,0.054711016997337186,0.17352128306531003,0.23339267425407698,0.9978308026030369,0.17273586259486476,4.442516268980477,10.501084598698482,-0.15799891097298452,0.03182775959084441,-0.27305856279444973,0.08610768089850884,-0.04260469808437817
BULL,816,active,-0.1707535225912865,-0.16600795209937175,0.2053826415666678,-0.8313921823615236,-0.4546505351133927,0.49754901960784315,1.0,0.49754901960784315,-0.1707535225912865,-0.16600795209937175,0.2053826415666678,-0.8313921823615236,0.9998468137254902,0.19562803413906357,11.39950980392157,3.553921568627451,,,,,
BULL,816,benchmark_bh,0.2208945428396727,0.21970846032852911,0.2003782500899744,1.1023878227326869,-0.131761353288409,0.5159313725490197,1.0,0.5159313725490197,0.2208945428396727,0.21970846032852911,0.2003782500899744,1.1023878227326869,0.9998468137254902,0.19562803413906357,11.39950980392157,3.553921568627451,1.0,0.0,1.0,,
BULL,816,strategy_net,0.047469251985002625,0.05370050822915679,0.12078759738417297,0.39299773331879034,-0.12775502510730496,0.5281862745098039,1.0,0.5281862745098039,0.047469251985002625,0.05370050822915679,0.12078759738417297,0.39299773331879034,0.9998468137254902,0.19562803413906357,11.39950980392157,3.553921568627451,0.15639608892670584,0.01933896432966653,0.2594502688912304,0.10049395681504536,-0.04811610247774201
NORMAL,227,active,-0.0699963037598631,-0.03217327748519092,0.2849421120284101,-0.24565096138855086,-0.18684089519947555,0.45374449339207046,1.0,0.45374449339207046,-0.0699963037598631,-0.03217327748519092,0.2849421120284101,-0.24565096138855086,1.0005506607929515,0.20985677318276436,7.506607929515418,7.422907488986784,,,,,
NORMAL,227,benchmark_bh,0.12967426442318697,0.1607598613068835,0.27725874104179893,0.4677012668236763,-0.2489998819796585,0.5242290748898678,1.0,0.5242290748898678,0.12967426442318697,0.1607598613068835,0.27725874104179893,0.4677012668236763,1.0005506607929515,0.20985677318276436,7.506607929515418,7.422907488986784,1.0,0.0,1.0,,
NORMAL,227,strategy_net,0.12435598788501023,0.12858658382169236,0.15234290238903467,0.8162900006161438,-0.06876556833749359,0.5330396475770925,1.0,0.5330396475770925,0.12435598788501023,0.12858658382169236,0.15234290238903467,0.8162900006161438,1.0005506607929515,0.20985677318276436,7.506607929515418,7.422907488986784,0.12285787782610282,0.10883596842191003,0.22359703011398213,0.1853414936425064,-0.05152068152062206
