regime,n_days,avg_gross_leverage,avg_turnover,avg_n_long,avg_n_short,frac_invested,alpha_ann__benchmark_bh,alpha_ann__strategy_net,ann_mean_arith__active,ann_mean_arith__benchmark_bh,ann_mean_arith__strategy_net,ann_mean_arith_invested__active,ann_mean_arith_invested__benchmark_bh,ann_mean_arith_invested__strategy_net,ann_return__active,ann_return__benchmark_bh,ann_return__strategy_net,ann_return_cost__strategy_net,ann_return_gross__strategy_net,ann_return_invested__active,ann_return_invested__benchmark_bh,ann_return_invested__strategy_net,ann_vol__active,ann_vol__benchmark_bh,ann_vol__strategy_net,ann_vol_invested__active,ann_vol_invested__benchmark_bh,ann_vol_invested__strategy_net,beta__benchmark_bh,beta__strategy_net,corr_with_benchmark__benchmark_bh,corr_with_benchmark__strategy_net,hit_rate__active,hit_rate__benchmark_bh,hit_rate__strategy_net,hit_rate_invested__active,hit_rate_invested__benchmark_bh,hit_rate_invested__strategy_net,max_drawdown_masked__active,max_drawdown_masked__benchmark_bh,max_drawdown_masked__strategy_net,sharpe_invested__active,sharpe_invested__benchmark_bh,sharpe_invested__strategy_net,sharpe_or_ir__active,sharpe_or_ir__benchmark_bh,sharpe_or_ir__strategy_net
BEAR,461,0.8785249457700651,1.1194218772309878,4.331887201735358,0.0,0.8785249457700651,0.0,-0.014834237906273159,0.02306235866121714,-0.14062084687786983,-0.11755848821665307,-0.05602057226204328,-0.05290402790555404,-0.10892460016759771,-0.011149334517620568,-0.16976238691325385,-0.15884413168543587,-0.24594009973321518,0.11436102460625652,-0.08679367930715609,-0.09533772728162204,-0.15801657039046657,0.2622649133982587,0.29956339909080987,0.3318932508162461,0.26420714743459245,0.3056331236786835,0.3540828063386794,1.0,0.7305051319993587,1.0,0.6593463405984298,0.5010845986984815,0.49023861171366595,0.44685466377440347,0.48641975308641977,0.5061728395061729,0.508641975308642,-0.37527861666526063,-0.45830235991418034,-0.5286393543300817,-0.32850617460544995,-0.31193519254101515,-0.44627010281692153,-0.04251172744823057,-0.5666993612320174,-0.4786000658186945
BULL,816,0.8762254901960784,1.179261057569881,3.5416666666666665,0.0,0.8762254901960784,0.0,-0.15909285429270797,-0.23877216808265211,0.21970846032852911,-0.019063707754123773,-0.1977036471149322,0.19956101001372303,0.0018573628987902453,-0.23550118072518433,0.2208945428396727,-0.052820202607294475,-0.2572423410199626,0.2739649353421574,-0.20465599583348337,0.19633162099707824,-0.03758173738640691,0.24364219714558494,0.2003782500899744,0.2653118463222733,0.2500071087904285,0.20131376174838495,0.28339310133789575,1.0,0.63734071200171,1.0,0.4813551236113033,0.43995098039215685,0.5159313725490197,0.4387254901960784,0.4433566433566434,0.5132867132867133,0.5006993006993007,-0.7120704196030911,-0.131761353288409,-0.5598715399240486,-0.818600706290471,0.9752518620285199,-0.13261345180593295,-0.966586180408084,1.1023878227326869,-0.1990872376770315
NORMAL,227,0.8502202643171806,1.13915308871256,3.762114537444934,0.0,0.8502202643171806,0.0,0.46087303808114005,0.42859231051991203,0.1607598613068835,0.5893521718267974,0.5421559133843572,0.1797453457072625,0.7219012590916215,0.46308855864280307,0.12967426442318697,0.6763183252806366,-0.2496847856689055,1.2303327820992949,0.6319495983502423,0.14822748158048027,0.8895655132385312,0.3192311414147909,0.27725874104179893,0.3845891710721902,0.33369462844844794,0.28649857776517795,0.4165209373751199,1.0,0.7991990830372542,1.0,0.576160090485429,0.5198237885462555,0.5242290748898678,0.43171806167400884,0.5181347150259067,0.533678756476684,0.5077720207253886,-0.20646554546557994,-0.2489998819796585,-0.20301550703779236,1.8937961371705792,0.517375977000387,2.135704194954757,1.4506371671336786,0.4677012668236763,1.7585474999078607
